direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad
"Chacabuco 900 - 1200, Parque Los Reyes, Santiago, RM (Metropolitana)",255.0,Gastos comunes aproximados $ 60.000,27 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 3 meses por Assetplan Chile,Edificio Chacabuco Vista Norte Piso 15,https://www.portalinmobiliario.com/MLC-1332869586-edificio-chacabuco-vista-norte-piso-15-_JM#position=37&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4343462,-70.6793983,Santiago
"General Mackenna 1555, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",240.0,Gastos comunes aproximados $ 50.000,25 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 5 días,"Mc Dpto Home Studio, Const Socovesa Metro Santa Ana",https://www.portalinmobiliario.com/MLC-1660944704-mc-dpto-home-studio-const-socovesa-metro-santa-ana-_JM#position=38&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.432898800000004,-70.65980617361122,Santiago
"Santo Domingo 1391, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",290.0,,30 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 5 días,Ap Metro Santa Ana - Santo Domingo/amunategui - 1 Dormitorio,https://www.portalinmobiliario.com/MLC-1383812869-ap-metro-santa-ana-santo-domingoamunategui-1-dormitorio-_JM#position=39&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.436706724489795,-70.65671476734693,Santiago
"San Diego, Bulnes, Santiago, RM (Metropolitana)",292.5,Gastos comunes aproximados $ 45.000,41 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 6 días por Houm,Departamento San Diego Id: 93656,https://www.portalinmobiliario.com/MLC-1650941866-departamento-san-diego-id-93656-_JM#position=41&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4752536,-70.6483591,Santiago
"Avenida Portugal, Santa Isabel, Santiago, RM (Metropolitana)",285.0,Gastos comunes aproximados $ 35.000,30 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 4 días por Houm,Departamento Avenida Portugal Id: 16311,https://www.portalinmobiliario.com/MLC-1663658930-departamento-avenida-portugal-id-16311-_JM#position=42&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4401891,-70.6406643,Santiago
"San Martín, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",265.0,Gastos comunes aproximados $ 55.000,30 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 5 días por Houm,Departamento San Martín Id: 107470,https://www.portalinmobiliario.com/MLC-1383709545-departamento-san-martin-id-107470-_JM#position=43&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4435178,-70.6575638,Santiago
"Lord Cochrane, Parque O'Higgins, Santiago, RM (Metropolitana)",229.5,Gastos comunes aproximados $ 40.000,25 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 6 días por Houm,Departamento Lord Cochrane Id: 89403,https://www.portalinmobiliario.com/MLC-1383205941-departamento-lord-cochrane-id-89403-_JM#position=44&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4618418,-70.6531468,Santiago
"Lord Cochrane, Parque O'Higgins, Santiago, RM (Metropolitana)",255.0,Gastos comunes aproximados $ 50.000,30 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 5 días por Houm,Departamento Lord Cochrane Id: 89319,https://www.portalinmobiliario.com/MLC-1383629987-departamento-lord-cochrane-id-89319-_JM#position=45&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4618418,-70.6531468,Santiago
"San Isidro 635, Santiago, Chile, Barrio Diez de Julio, Santiago, RM (Metropolitana)",280.0,Gastos comunes aproximados $ 45.000,30 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 5 días,Mc- Impecable San Isidro Con Eyzaguirre,https://www.portalinmobiliario.com/MLC-1659546482-mc-impecable-san-isidro-con-eyzaguirre-_JM#position=46&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.452060044897955,-70.64264358367348,Santiago
"Avenida Mapocho, Parque Los Reyes, Santiago, RM (Metropolitana)",270.0,Gastos comunes aproximados $ 50.000,32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 6 días por Houm,Departamento Avenida Mapocho Id: 107495,https://www.portalinmobiliario.com/MLC-1653545910-departamento-avenida-mapocho-id-107495-_JM#position=47&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4325865,-70.6755792,Santiago
"San Diego, Parque O'Higgins, Santiago, RM (Metropolitana)",290.0,Gastos comunes aproximados $ 60.000,37 m² totales / 2 dormitorios / 1 baño,3,2023-05-17,Publicado hace 3 días por Houm,Departamento San Diego Id: 89494,https://www.portalinmobiliario.com/MLC-1384104461-departamento-san-diego-id-89494-_JM#position=48&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4752536,-70.6483591,Santiago
"Avenida Mapocho, Parque Los Reyes, Santiago, RM (Metropolitana)",270.0,Gastos comunes aproximados $ 50.000,32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 5 días por Houm,Departamento Avenida Mapocho Id: 107490,https://www.portalinmobiliario.com/MLC-1383672039-departamento-avenida-mapocho-id-107490-_JM#position=49&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4325865,-70.6755792,Santiago
"Avenida Mapocho, Parque Los Reyes, Santiago, RM (Metropolitana)",270.0,Gastos comunes aproximados $ 50.000,32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 6 días por Houm,Departamento Avenida Mapocho Id: 107496,https://www.portalinmobiliario.com/MLC-1650930096-departamento-avenida-mapocho-id-107496-_JM#position=50&search_layout=stack&type=item&tracking_id=4c0f8e68-271c-412f-ae94-eb7b79af989c,-33.4325865,-70.6755792,Santiago
"Avenida Mapocho, Parque Los Reyes, Santiago, RM (Metropolitana)",270.0,Gastos comunes aproximados $ 50.000,32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 6 días por Houm,Departamento Avenida Mapocho Id: 107492,https://www.portalinmobiliario.com/MLC-1651213286-departamento-avenida-mapocho-id-107492-_JM#position=1&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4325865,-70.6755792,Santiago
"Compañía De Jesus, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",8.0,Gastos comunes aproximados $ 36.000,25 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 3 días por Houm,Departamento Compañía De Jesus Id: 102969,https://www.portalinmobiliario.com/MLC-1665279196-departamento-compania-de-jesus-id-102969-_JM#position=2&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4393266,-70.6596816,Santiago
"Avenida Mapocho, Parque Los Reyes, Santiago, RM (Metropolitana)",270.0,Gastos comunes aproximados $ 50.000,32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 6 días por Houm,Departamento Avenida Mapocho Id: 107494,https://www.portalinmobiliario.com/MLC-1653524550-departamento-avenida-mapocho-id-107494-_JM#position=3&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4325865,-70.6755792,Santiago
"Avenida Mapocho, Parque Los Reyes, Santiago, RM (Metropolitana)",270.0,Gastos comunes aproximados $ 50.000,32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 6 días por Houm,Departamento Avenida Mapocho Id: 107498,https://www.portalinmobiliario.com/MLC-1651213496-departamento-avenida-mapocho-id-107498-_JM#position=4&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4325865,-70.6755792,Santiago
"Santa Elena 2120, San Joaquín, Chile, Santiago, RM (Metropolitana)",289.0,Gastos comunes aproximados $ 57.000,25 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 6 días por Blue Home,"Santa Elena 2120 -  Departamento Studio, Santiago",https://www.portalinmobiliario.com/MLC-1383465063-santa-elena-2120-departamento-studio-santiago-_JM#position=5&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.2115479,-70.7277606,Santiago
