from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
257,14996,68.0,"['E03', 'L4V', '516']","['PE1493', '99', 'PD553']","['PE1296', '79', 'PD579']","[29.5, 8.7, 5.4]",2.8,11.4,4.4,"[1.4, 1.8, 1.6]",67.0,2
258,14996,104.0,"['113', '115c', 'L6', '325']","['PI270', 'PI274', '101', 'PD350']","['PI274', 'PI1623', '106', 'PD892']","[12.5, 36.7, 17.3, 8.5]",6.1,4.7,5.3,"[1.1, 2.1, 3.8, 1.5]",99.8,1
259,14996,34.0,['D16'],['PD690'],['PD914'],[21.3],9.2,8.9,0.0,[1.5],40.9,5
260,14996,96.0,"['506e', 'L5V', '519']","['PI528', '68', 'PC1044']","['PI230', '87', 'PD590']","[19.3, 31.1, 17.9]",10.1,11.3,2.7,"[5.8, 2.0, 1.5]",101.7,1
261,14996,58.0,"['L3', 'L6', '126']","['111', '106', 'PD529']","['106', '105', 'PD83']","[20.2, 1.4, 2.2]",13.1,13.5,4.0,"[1.5, 1.0, 1.9]",58.8,1
262,14996,56.0,"['L1', 'L5V', '519']","['85', '6', 'PD427']","['6', '35', 'PD590']","[1.1, 3.4, 15.0]",20.6,11.3,0.8,"[1.2, 1.4, 1.6]",56.6,2
263,14996,91.0,"['313e', '308c', 'L3', '508']","['PB1621', 'PB554', '108', 'PD111']","['PB548', 'PB1988', '117', 'PD530']","[7.4, 15.1, 23.5, 11.4]",4.6,12.0,8.8,"[7.2, 2.7, 2.6, 1.1]",96.4,1
264,14996,67.0,"['H06', 'MTN', 'L6', '507']","['PH284', 'PT0214', '102', 'PD115']","['PH563', 'PT0212', '105', 'PD590']","[8.4, 4.6, 12.6, 5.3]",8.1,11.3,7.8,"[3.4, 1.6, 4.3, 1.6]",69.1,1
265,14996,54.0,"['C20', 'L1', 'L6', '506v']","['PC965', '27', '41', 'PD115']","['PC906', '41', '105', 'PD590']","[4.3, 4.9, 7.0, 4.7]",6.4,11.3,9.5,"[1.7, 2.6, 2.3, 2.0]",56.8,1
266,14996,55.0,"['329', 'L5V', 'L6', '325']","['PE838', '65', '61', 'PD350']","['PE1', '61', '106', 'PD892']","[5.9, 7.5, 4.3, 8.7]",3.4,4.7,5.6,"[1.5, 2.9, 2.8, 1.6]",48.8,2
267,14996,48.0,"['345', 'L6', '106']","['PA281', '103', 'PD529']","['PH293', '105', 'PD61']","[7.0, 10.2, 2.7]",3.1,11.1,5.0,"[2.2, 1.1, 2.3]",44.7,2
268,14996,80.0,"['108', 'L5V', '519']","['PI99', '68', 'PD427']","['PI106', '35', 'PD590']","[10.4, 32.5, 14.7]",1.8,11.3,3.1,"[4.4, 1.4, 1.0]",80.7,1
269,14996,46.0,"['C07', 'L4V', '506']","['PC106', '8', 'PD553']","['PC618', '79', 'PD579']","[12.8, 7.7, 4.6]",2.0,11.4,4.4,"[1.3, 2.8, 1.1]",48.2,1
270,14996,43.0,"['D16', '325']","['PD144', 'PD911']","['PD911', 'PD915']","[11.8, 18.3]",4.2,3.6,0.0,"[3.2, 1.8]",42.9,2
271,14996,64.0,"['502', '216', 'L3', 'D16']","['PC251', 'PC101', '24', 'PD313']","['PC256', 'PD187', '119', 'PI632']","[5.7, 23.9, 1.5, 6.9]",2.6,9.7,7.3,"[1.3, 4.1, 1.0, 1.0]",65.0,1
272,14996,116.0,"['B13', '307e', '308c', 'L3', 'L5R', 'L6', '508']","['PB1944', 'PB546', 'PB1882', '108', '75', '61', 'PD529']","['PB546', 'PB1882', 'PB1988', '75', '61', '105', 'PD530']","[19.5, 4.6, 13.3, 12.9, 9.0, 2.4, 3.0]",14.8,12.0,8.4,"[2.1, 1.2, 1.2, 2.5, 1.8, 1.1, 1.3]",111.1,1
273,14996,79.0,"['B21', 'L3', 'D16']","['PB1916', '109', 'PD313']","['PB964', '119', 'PI632']","[21.5, 29.0, 6.9]",2.6,9.7,3.8,"[4.7, 3.3, 1.4]",82.9,1
274,14996,58.0,"['203e', 'L4A', 'L4V', '506']","['PE71', '92', '99', 'PD553']","['PE114', '99', '79', 'PD579']","[4.3, 6.6, 8.7, 4.6]",8.6,11.4,4.9,"[1.6, 1.5, 2.4, 2.4]",57.0,1
275,14996,79.0,"['J07e', 'L5V', 'L3', '325']","['PJ1720', '73', '35', 'PD350']","['PJ987', '35', '106', 'PD892']","[11.9, 20.6, 3.7, 8.7]",6.3,4.7,5.5,"[6.1, 1.0, 1.2, 1.5]",71.3,1
276,14996,83.0,"['C09', 'C13', 'L1', 'L6', '506v']","['PC811', 'PC291', '40', '41', 'PD115']","['PC844', 'PC1067', '41', '105', 'PD590']","[4.8, 17.2, 9.9, 7.0, 4.7]",6.3,11.3,10.8,"[1.7, 1.7, 2.4, 2.5, 1.7]",82.0,1
277,14996,60.0,"['D02', 'L3', 'D16']","['PD1013', '120', 'PD313']","['PD448', '119', 'PI632']","[11.2, 1.8, 6.9]",18.8,9.7,4.1,"[2.3, 2.0, 1.9]",58.6,1
