from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
4148,14995,64.0,"['C37', 'L1', '507']","['PC1277', '40', 'PA335']","['PC1064', '38', 'PA433']","[16.6, 24.1, 6.8]",3.9,3.4,3.3,"[3.4, 1.4, 3.2]",66.2,7
4149,14995,63.0,"['546e', 'C03', 'L1', '507']","['PC226', 'PC658', '40', 'PA335']","['PC658', 'PC1067', '38', 'PA433']","[2.1, 10.4, 24.1, 6.8]",3.1,3.4,3.1,"[1.5, 3.6, 1.8, 2.4]",62.3,1
4150,14995,49.0,"['405', 'L1', 'L2R', '506']","['PC266', '57', '44', 'PA450']","['PC192', '44', '70', 'PA452']","[12.3, 8.6, 2.6, 3.0]",5.0,4.6,3.1,"[2.6, 1.7, 1.6, 1.0]",46.1,1
4151,14995,67.0,"['C28', 'L1', '507']","['PC241', '58', 'PA335']","['PC178', '38', 'PA433']","[16.9, 20.9, 6.8]",7.9,3.4,7.2,"[3.3, 1.4, 1.8]",69.6,1
4152,14995,75.0,"['406c', 'L1', '119']","['PC780', '58', 'PA273']","['PC178', '83', 'PA276']","[26.5, 19.6, 4.2]",5.0,4.3,11.3,"[1.7, 1.2, 1.5]",75.2,1
4153,14995,88.0,"['209c', 'L4A', 'L2R', '506v']","['PF940', '92', '39', 'PA450']","['PE65', '39', '70', 'PA452']","[36.8, 4.1, 14.0, 2.9]",16.0,4.6,4.3,"[1.6, 1.6, 1.4, 1.5]",88.9,1
4154,14995,112.0,"['430', 'L1', 'L2', '506']","['PC1233', '3', '44', 'PA450']","['PC184', '44', '70', 'PA452']","[30.2, 15.2, 2.8, 2.8]",43.9,4.6,1.9,"[4.6, 1.2, 1.8, 1.0]",110.0,2
4155,14995,63.0,"['546e', 'C03c', 'L1', 'L2R', '506v']","['PC226', 'PC658', '40', '44', 'PA450']","['PC658', 'PC1067', '44', '70', 'PA452']","[2.1, 12.5, 21.5, 2.6, 3.3]",5.1,4.6,2.6,"[2.1, 2.0, 1.5, 1.8, 1.3]",63.0,1
4156,14995,40.0,"['L1', 'L2R', '506']","['58', '44', 'PA450']","['44', '70', 'PA452']","[18.3, 2.6, 3.0]",4.9,4.6,1.3,"[2.2, 3.0, 1.4]",41.3,13
4157,14995,69.0,"['426', 'C28', 'L1', 'L2R', '507']","['PC1235', 'PC291', '58', '44', 'PA450']","['PC291', 'PC178', '44', '70', 'PA322']","[3.5, 20.4, 18.3, 2.6, 3.4]",0.4,3.3,6.7,"[4.7, 1.2, 2.2, 3.9, 1.1]",71.6,1
4158,14995,,[],[],[],[],,,,[],,
4159,14995,78.0,"['C14', 'L1', 'L5V', '121']","['PC1078', '27', '6', 'PA724']","['PC617', '6', '78', 'PA276']","[16.6, 10.4, 6.3, 8.3]",20.0,4.3,5.1,"[5.4, 1.4, 1.6, 1.1]",80.4,1
4160,14995,72.0,"['C16', 'L1', '507']","['PC1237', '40', 'PA335']","['PC1067', '38', 'PA433']","[28.0, 24.1, 6.8]",2.4,3.4,3.1,"[3.6, 1.4, 2.5]",75.2,2
4161,14995,78.0,"['C10e', 'L1', 'L5V', '121']","['PC1071', '93', '6', 'PA724']","['PC1220', '6', '78', 'PA276']","[16.3, 6.5, 6.3, 8.3]",23.0,4.3,5.1,"[1.1, 2.4, 1.2, 1.0]",75.5,1
4162,14995,52.0,"['406c', 'L1', '507']","['PC296', '58', 'PA335']","['PC178', '38', 'PA433']","[7.4, 20.9, 6.8]",0.6,3.4,7.2,"[2.0, 2.3, 1.4]",52.0,1
4163,14995,63.0,"['411', 'L1', 'L2R', '507']","['PC334', '74', '44', 'PA450']","['PC203', '44', '70', 'PA322']","[22.9, 9.9, 2.6, 3.6]",9.1,3.3,2.1,"[1.6, 1.1, 2.7, 1.9]",60.7,4
4164,14995,76.0,"['C28', 'C10e', 'L1', 'L2R', '506e']","['PC427', 'PC772', '93', '44', 'PA450']","['PC792', 'PC1220', '44', '70', 'PA452']","[9.8, 20.7, 12.6, 2.6, 2.6]",2.2,4.6,7.0,"[5.3, 3.0, 2.4, 3.8, 2.6]",79.1,1
4165,14995,52.0,"['417e', 'L1', 'L2R', '507']","['PC322', '58', '44', 'PA450']","['PC105', '44', '70', 'PA322']","[3.6, 18.3, 2.6, 3.6]",4.4,3.3,5.8,"[5.9, 2.3, 3.4, 1.4]",54.5,2
4166,14995,76.0,"['C19', 'L1', 'L2R', '506e']","['PC240', '58', '44', 'PA450']","['PC178', '44', '70', 'PA452']","[18.0, 18.3, 2.6, 2.4]",17.1,4.6,6.7,"[1.3, 2.5, 1.6, 1.1]",76.2,1
4167,14995,45.0,"['C18', 'L1', '507']","['PC73', '27', 'PA335']","['PC906', '38', 'PA433']","[0.9, 19.1, 6.8]",3.8,3.4,6.5,"[2.8, 1.2, 1.1]",45.5,1
4168,14995,42.0,"['L1', 'L2R', '509']","['3', '44', 'PA450']","['44', '70', 'PA452']","[15.2, 2.6, 3.0]",9.3,4.6,1.3,"[1.4, 3.6, 1.5]",42.5,1
4169,14995,49.0,"['216', 'L1', 'L2R', '509']","['PC101', '58', '44', 'PA450']","['PC105', '44', '70', 'PA452']","[5.7, 18.3, 2.6, 3.3]",0.4,4.6,5.8,"[5.2, 1.9, 1.4, 1.3]",50.4,3
4170,14995,55.0,"['E03', '224', 'L5V', 'L3', '506e']","['PE76', 'PE193', '42', '35', 'PA446']","['PE193', 'PE1490', '35', '116', 'PA452']","[9.9, 2.6, 12.7, 1.9, 7.1]",4.6,4.6,4.7,"[3.1, 1.5, 1.5, 1.4, 2.4]",57.9,1
4171,14995,48.0,"['405', 'L1', 'L2R', '506v']","['PC264', '57', '44', 'PA450']","['PC192', '44', '70', 'PA452']","[14.8, 8.6, 2.6, 3.3]",2.0,4.6,3.1,"[4.3, 1.4, 1.1, 1.5]",47.1,2
4172,14995,105.0,"['MTR', '511', '506']","['PT0222', 'PA368', 'PA289']","['PT0211', 'PA832', 'PA433']","[27.0, 5.1, 3.6]",34.9,3.4,6.1,"[21.1, 1.1, 1.0]",103.3,1
4173,14995,79.0,"['C28', 'L1', 'L2R', '507']","['PC779', '58', '44', 'PA450']","['PC178', '44', '70', 'PA322']","[28.9, 18.3, 2.6, 3.4]",6.6,3.3,6.7,"[5.2, 1.4, 1.5, 1.5]",79.3,2
4174,14995,51.0,"['C14', '406', 'L1', 'L2R', '507']","['PC950', 'PC180', '3', '44', 'PA450']","['PC180', 'PC184', '44', '70', 'PA322']","[2.0, 5.3, 15.2, 2.6, 3.6]",7.6,3.3,1.9,"[1.5, 1.2, 1.2, 2.3, 2.2]",49.9,1
4175,14995,52.0,"['C20', 'L1', 'L2R', '506e']","['PC904', '27', '44', 'PA450']","['PC906', '44', '70', 'PA452']","[8.5, 16.5, 2.6, 2.6]",2.7,4.6,6.1,"[4.2, 1.2, 3.9, 1.0]",53.8,3
4176,14995,75.0,"['315e', '307c', 'L3', 'L2R', '507']","['PB1252', 'PB548', '108', '12', 'PA450']","['PB548', 'PB1988', '12', '70', 'PA322']","[10.4, 16.2, 11.4, 6.8, 3.6]",5.4,3.3,5.7,"[3.0, 1.2, 2.5, 3.7, 2.5]",75.7,1
4177,14995,41.0,"['L1', 'L2R', '506v']","['32', '44', 'PA450']","['44', '70', 'PA452']","[14.0, 2.6, 3.3]",9.9,4.6,1.3,"[2.3, 1.8, 1.6]",41.3,4
4178,14995,83.0,"['C01', '225', 'L1', '507']","['PC1250', 'PC115', '40', 'PA335']","['PC115', 'PC1067', '38', 'PA433']","[21.3, 10.5, 24.1, 6.8]",6.8,3.4,3.1,"[3.0, 4.4, 2.0, 1.2]",86.5,1
