direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad
"Santa Victoria 562, Santa Isabel, Santiago, RM (Metropolitana)",465.000,Gastos comunes aproximados $ 90.000,55 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 31 días por Gestion&propiedad,Santa Victoria 562,https://www.portalinmobiliario.com/MLC-1373883757-santa-victoria-562-_JM#position=2&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.44902747058824,-70.64291878823529,Santiago
"Lira, Santa Isabel, Santiago, RM (Metropolitana)",15,Gastos comunes aproximados $ 65.000,46 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 12 días por Houm,Departamento Lira Id: 41055,https://www.portalinmobiliario.com/MLC-1381126899-departamento-lira-id-41055-_JM#position=3&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.4412479,-70.6418612,Santiago
"Lord Cochrane, Parque Almagro, Santiago, RM (Metropolitana)",450.800,Gastos comunes aproximados $ 90.000,56 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 9 días por Houm,Departamento Lord Cochrane Id: 106214,https://www.portalinmobiliario.com/MLC-1643867710-departamento-lord-cochrane-id-106214-_JM#position=4&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.4618418,-70.6531468,Santiago
"San Francisco,eleuterio Ramirez, Bulnes, Santiago, RM (Metropolitana)",450.000,Gastos comunes aproximados $ 105.000,55 m² totales / 2 dormitorios / 1 baño,3,2023-05-19,Publicado hace 24 días,San Francisco/eleuterio Ramirez,https://www.portalinmobiliario.com/MLC-1376792385-san-franciscoeleuterio-ramirez-_JM#position=5&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.036842,-70.7112002,Santiago
"Chiloé 1951, Franklin - Biobío, Santiago, RM (Metropolitana)",455.000,Gastos comunes aproximados $ 100.000,2 dormitorios / 2 baños,2,2023-05-19,Publicado hace 10 días por Assetplan Chile,Edificio Chiloé (1 Bod.) Piso 2,https://www.portalinmobiliario.com/MLC-1381985385-edificio-chiloe-1-bod-piso-2-_JM#position=6&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.47171293287671,-70.64534050821918,Santiago
"Avenida Portugal 300 - 600, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",450.000,Gastos comunes aproximados $ 100.000,58 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 16 días,Arriendo Departamento 2 Dormitorios.,https://www.portalinmobiliario.com/MLC-1379426701-arriendo-departamento-2-dormitorios-_JM#position=8&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.44595515098039,-70.6359413745098,Santiago
"Tucapel Jiménez 136, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",450.000,Gastos comunes aproximados $ 120.000,40 m² totales / 2 dormitorios / 1 baño,3,2023-05-19,Publicado hace 14 días,Se Arrienda Departamento En Tucapel Jiménez Nº136,https://www.portalinmobiliario.com/MLC-1380069295-se-arrienda-departamento-en-tucapel-jimenez-n136-_JM#position=9&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.4435335,-70.6589447,Santiago
"Matucana 1161, Parque Los Reyes, Santiago, RM (Metropolitana)",450.000,Gastos comunes aproximados $ 75.000,51.6 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 7 días por Assetplan Chile,Edificio Matucana (1 Est. 1 Bod.) Vista Poniente Piso 22,https://www.portalinmobiliario.com/MLC-1654285970-edificio-matucana-1-est-1-bod-vista-poniente-piso-22-_JM#position=10&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.4463373,-70.6793156,Santiago
"Matucana, Parque Los Reyes, Santiago, RM (Metropolitana)",485.000,Gastos comunes aproximados $ 80.000,50 m² totales / 2 dormitorios / 2 baños,3,2023-05-19,Publicado hace 21 días por Houm,Departamento Matucana Id: 40315,https://www.portalinmobiliario.com/MLC-1378128423-departamento-matucana-id-40315-_JM#position=11&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.4441183,-70.6795207,Santiago
"Lord Cochrane 900 - 1200, Santiago, Chile, Parque Almagro, Santiago, RM (Metropolitana)",480.000,Gastos comunes aproximados $ 80.000,58 m² totales / 3 dormitorios / 2 baños,3,2023-05-19,Publicado hace 10 días,Cercano A Metro Parque O'higgins,https://www.portalinmobiliario.com/MLC-1640249808-cercano-a-metro-parque-ohiggins-_JM#position=12&search_layout=stack&type=item&tracking_id=6df9cac7-4ab8-4da0-a17e-2cde452360e1,-33.457791737037034,-70.65352374444446,Santiago
